datetime,capital,position_value,equity
2025-05-27,1000000.0,0.0,1000000.0
2025-05-28,1000000.0,0.0,1000000.0
2025-05-29,1000000.0,0.0,1000000.0
2025-06-02,1000000.0,0.0,1000000.0
2025-06-03,1000000.0,0.0,1000000.0
2025-06-04,1000000.0,0.0,1000000.0
2025-06-05,1000000.0,0.0,1000000.0
2025-06-06,1000000.0,0.0,1000000.0
2025-06-09,1000000.0,0.0,1000000.0
2025-06-10,1000000.0,0.0,1000000.0
2025-06-11,1000000.0,0.0,1000000.0
2025-06-12,1000000.0,0.0,1000000.0
2025-06-13,1000000.0,0.0,1000000.0
2025-06-16,1000000.0,0.0,1000000.0
2025-06-17,1000000.0,0.0,1000000.0
2025-06-18,1000000.0,0.0,1000000.0
2025-06-19,1000000.0,0.0,1000000.0
2025-06-20,1000000.0,0.0,1000000.0
2025-06-23,1000000.0,0.0,1000000.0
2025-06-24,1000000.0,0.0,1000000.0
2025-06-25,1000000.0,0.0,1000000.0
2025-06-26,1000000.0,0.0,1000000.0
2025-06-27,1000000.0,0.0,1000000.0
2025-06-30,1000000.0,0.0,1000000.0
2025-07-01,1000000.0,0.0,1000000.0
2025-07-02,1000000.0,0.0,1000000.0
2025-07-03,1000000.0,0.0,1000000.0
2025-07-04,1000000.0,0.0,1000000.0
2025-07-07,1000000.0,0.0,1000000.0
2025-07-08,1000000.0,0.0,1000000.0
2025-07-09,1000000.0,0.0,1000000.0
2025-07-10,1000000.0,0.0,1000000.0
2025-07-11,1000000.0,0.0,1000000.0
2025-07-14,1000000.0,0.0,1000000.0
2025-07-15,1000000.0,0.0,1000000.0
2025-07-16,1000000.0,0.0,1000000.0
2025-07-17,1000000.0,0.0,1000000.0
2025-07-18,1000000.0,0.0,1000000.0
2025-07-21,1000000.0,0.0,1000000.0
2025-07-22,1000000.0,0.0,1000000.0
2025-07-23,1000000.0,0.0,1000000.0
2025-07-24,1000000.0,0.0,1000000.0
2025-07-25,1000000.0,0.0,1000000.0
2025-07-28,1000000.0,0.0,1000000.0
2025-07-29,1000000.0,0.0,1000000.0
2025-07-30,1000000.0,0.0,1000000.0
2025-07-31,1000000.0,0.0,1000000.0
2025-08-01,1000000.0,0.0,1000000.0
2025-08-04,1000000.0,0.0,1000000.0
2025-08-05,1000000.0,0.0,1000000.0
2025-08-06,1000000.0,0.0,1000000.0
2025-08-07,1000000.0,0.0,1000000.0
2025-08-08,1000000.0,0.0,1000000.0
2025-08-11,1000000.0,0.0,1000000.0
2025-08-12,1000000.0,0.0,1000000.0
2025-08-13,1000000.0,0.0,1000000.0
2025-08-14,1000000.0,0.0,1000000.0
2025-08-15,1000000.0,0.0,1000000.0
2025-08-18,1000000.0,0.0,1000000.0
2025-08-19,1000000.0,0.0,1000000.0
2025-08-20,1000000.0,0.0,1000000.0
2025-08-21,1000000.0,0.0,1000000.0
2025-08-22,1000000.0,0.0,1000000.0
2025-08-25,1000000.0,0.0,1000000.0
2025-08-26,1000000.0,0.0,1000000.0
2025-08-27,1000000.0,0.0,1000000.0
2025-08-28,1000000.0,0.0,1000000.0
2025-08-29,1000000.0,0.0,1000000.0
2025-09-01,1000000.0,0.0,1000000.0
2025-09-02,1000000.0,0.0,1000000.0
2025-09-03,1000000.0,0.0,1000000.0
2025-09-04,1000000.0,0.0,1000000.0
2025-09-05,1000000.0,0.0,1000000.0
2025-09-08,1000000.0,0.0,1000000.0
